,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Eloy Vargas,Dominican Republic,5,3,2,60%,"9,8","2,2","0,8",2,40%,0,0,-,"0,8",2,40%,"0,6","1,8",33%,"1,4","1,6",3,0,"0,6",0,0,0,3,0,"-0,8","-2,2","3,4",18%,"0,65","103,5","106,5","-2,9",73,"105,3","-32,4",40%,39%,35%,"1,33",12%,0,12%,0,0%,-,0%,-,24%,18%,0%,0%,0%,0%,0%,0,"14,30%","11,10%","16,70%","0,00%","23,50%","35,30%","11,80%","0,00%","18,10%","0,00%","0,00%","16,1",0,"-1,6","-0,1","0,1",0,"-0,037","-11,3","-4,5","-15,8","-1,9","77,6","103,5","106,5","-2,9",53%,24%,14%,6%,56%,15%,10%,14%,"80,9","106,6","110,2","-3,6",57%,29%,16%,12%,60%,22%,15%,12%,"-3,4","-3,1","-3,8","0,7",-4%,-4%,-2%,-6%,-3%,-7%,-5%,2%
Angel Delgado,Dominican Republic,5,3,2,60%,"14,6","4,6","1,8",3,60%,0,0,-,"1,8",3,60%,1,"1,6",63%,"1,4","1,6",3,1,"0,8",0,0,0,2,0,4,"-4,6","4,4",8%,"1,05","99,6","111,2","-11,6",117,"112,8","4,2",60%,64%,32%,"1,14",32%,"1,43",5%,0,0%,-,0%,-,14%,18%,5%,4%,8%,3%,19%,"1,3","5,60%","8,20%","3,10%","0,00%","8,10%","5,60%","8,50%","6,70%","6,70%","0,00%","0,00%",4,0,"11,8","0,1","0,1","0,2","0,085","-4,3","0,7","-3,6","-0,3","82,6","99,6","111,2","-11,6",52%,26%,16%,12%,62%,14%,15%,13%,"76,3","117,1","106,4","10,8",62%,30%,16%,9%,54%,31%,12%,13%,"6,4","-17,5","4,9","-22,4",-10%,-5%,0%,3%,8%,-16%,3%,0%
Gerardo Suero,Dominican Republic,5,3,2,60%,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,"-6,8","1,2","-5,6",0,-,-,-,-,-,-,-,-,-,-,-,-,"80,2",106,"109,4","-3,4",56%,28%,16%,11%,59%,20%,14%,13%,"-80,2",-106,"-109,4","3,4",-56%,-28%,-16%,-11%,-59%,-20%,-14%,-13%
Lj Figueroa,Dominican Republic,5,3,2,60%,"12,2","1,8","0,8","2,6",31%,0,1,0%,"0,8","3,6",22%,"0,2","0,8",25%,1,"0,4","1,4",1,"0,6","0,2","0,2",0,1,0,"-0,4","1,6","4,6",11%,"0,39","110,6","102,6",8,"67,6",104,"-36,4",22%,23%,39%,"0,89",9%,0,9%,0,9%,0,13%,0,9%,13%,6%,5%,14%,0%,18%,"1,7","5,60%","2,40%","3,90%","25,00%","2,40%","3,80%","0,00%","0,00%","4,00%","0,50%","0,60%","2,6",0,"-0,7","-0,2","0,1",0,"-0,014","-8,6","-0,1","-8,7","-1,1","77,8","110,6","102,6",8,58%,26%,15%,13%,55%,19%,14%,12%,"82,5","101,9","115,7","-13,8",54%,29%,16%,9%,63%,22%,14%,14%,"-4,8","8,7","-13,2","21,9",4%,-4%,-1%,4%,-8%,-3%,0%,-2%
Lester Quinones,Dominican Republic,5,3,2,60%,"16,8",7,"1,4","3,4",41%,"0,6",4,15%,2,"7,4",27%,"2,4","3,2",75%,"0,8","1,4","2,2","0,4","1,6","0,4",0,0,"2,4",0,"-0,2","2,6","10,4",21%,"0,67","111,6","103,2","8,4","70,7","101,5","-30,7",31%,40%,15%,"1,25",12%,"0,33",6%,"0,67",10%,0,29%,"0,6",13%,15%,2%,0%,3%,6%,4%,"0,3","3,70%","5,80%","1,50%","0,00%","7,00%","4,10%","7,80%","7,10%","5,30%","0,90%","0,00%","5,5",0,"1,2","-0,3","0,2","-0,1","-0,056","-9,5",-2,"-11,5","-2,2","77,5","111,6","103,2","8,4",59%,26%,16%,10%,54%,22%,13%,12%,"83,6","99,5","116,7","-17,2",53%,29%,16%,12%,65%,17%,15%,13%,"-6,1","12,2","-13,5","25,7",5%,-3%,0%,-2%,-12%,5%,-2%,-1%
Karl Anthony Towns,Dominican Republic,5,3,2,60%,"29,8","24,4","4,4","8,8",50%,"2,6","6,6",39%,7,"15,4",45%,"7,8","8,4",93%,"1,4","6,6",8,"1,6","3,2","0,2",1,0,"3,4",0,"19,6","-3,2","21,6",47%,"1,13","112,7","117,1","-4,4","113,5","108,4","5,1",54%,66%,21%,"1,3",15%,"0,88",5%,0,0%,-,31%,"1,18",14%,15%,18%,13%,25%,0%,7%,"0,5","7,00%","6,30%","7,00%","0,00%","41,80%","36,80%","39,50%","25,00%","22,30%","0,50%","2,90%","8,1",0,"27,8","0,3","0,1","0,4","0,106","2,9","-0,6","2,3","1,8","79,4","112,7","117,1","-4,4",60%,24%,16%,8%,63%,16%,12%,11%,81,99,101,-2,52%,31%,15%,14%,55%,24%,16%,15%,"-1,6","13,8","16,1","-2,4",8%,-7%,1%,-7%,8%,-8%,-4%,-4%
Kiefer Ravena,Philippines,5,1,4,20%,"10,6","2,6","0,6","1,8",33%,"0,4","2,4",17%,1,"4,2",24%,"0,2","0,4",50%,0,"0,6","0,6","1,8","0,2","0,8",0,0,"1,4",0,"0,8","2,6","4,6",25%,"0,57","116,7",104,"12,7","100,4","94,4",6,29%,30%,9%,1,22%,"0,4",9%,1,0%,-,52%,"0,5",4%,4%,25%,18%,80%,11%,28%,9,"0,00%","0,00%","0,00%","0,00%","8,10%","9,50%","5,60%","0,00%","3,90%","5,30%","0,00%","9,3",0,"6,1",0,"0,1","0,1","0,073","-4,8","-1,1","-5,9","-0,6","79,7","116,7",104,"12,7",55%,33%,9%,13%,56%,16%,14%,10%,"78,3","97,5","106,9","-9,4",53%,27%,18%,8%,53%,29%,12%,11%,"1,3","19,2","-2,9","22,1",2%,7%,-9%,5%,3%,-12%,2%,-1%
Jordan Clarkson,Philippines,5,1,4,20%,36,26,"6,4","13,2",48%,"2,4","8,2",29%,"8,8","21,4",41%,6,"7,2",83%,"0,4","4,2","4,6","5,2","4,2","1,2","0,2",0,"1,4",0,"17,8","-0,4","28,6",46%,"0,91","101,1","104,4","-3,4","105,1","96,9","8,2",47%,53%,11%,"1,13",24%,"1,09",10%,"0,53",1%,0,28%,"0,9",10%,15%,38%,30%,50%,38%,15%,"1,2","1,50%","2,70%","0,00%","0,00%","14,00%","8,60%","17,70%","0,00%","8,10%","2,20%","0,40%","2,6",0,"23,3","0,1","0,3","0,5","0,106","5,8","-1,5","4,3","3,2","80,9","101,1","104,4","-3,4",53%,25%,16%,9%,52%,26%,12%,11%,"73,5","101,7","110,5","-8,8",54%,33%,17%,11%,56%,27%,12%,11%,"7,4","-0,6",-6,"5,4",-1%,-8%,-2%,-2%,-4%,-1%,0%,0%
Scottie Thompson,Philippines,5,1,4,20%,"12,8","1,8","0,6","1,4",43%,"0,2",1,20%,"0,8","2,4",33%,0,0,-,1,1,2,"2,2","2,2",0,0,0,"1,8",0,"0,4",-6,"4,6",8%,"0,39",100,"111,3","-11,3","80,6","111,1","-30,5",38%,38%,17%,1,13%,"0,67",0%,-,4%,0,17%,"0,75",-,48%,9%,9%,16%,4%,32%,1,"3,70%","4,80%","2,80%","0,00%","3,60%","4,40%","2,70%","0,00%","3,70%","0,00%","0,00%","3,4",0,"-2,2","-0,1","0,1",0,"-0,015","-8,2","-0,3","-8,5","-1,1","78,1",100,"111,3","-11,3",53%,27%,16%,10%,56%,26%,12%,12%,"79,7","103,9","96,1","7,8",56%,30%,16%,8%,48%,28%,13%,7%,"-1,6","-3,9","15,2","-19,1",-3%,-3%,0%,1%,8%,-2%,-1%,5%
Kai Zachary Sotto,Philippines,5,1,4,20%,"14,4",6,"2,4","3,2",75%,0,"0,6",0%,"2,4","3,8",63%,"1,2","2,4",50%,"1,2","2,8",4,"0,6","0,8","0,2","0,8",0,"2,4",0,"5,8","-0,4","5,6",27%,"1,07","105,8","103,3","2,5","101,2","85,6","15,7",63%,63%,32%,"1,78",18%,"1,2",7%,1,0%,-,11%,0,18%,14%,12%,20%,0%,20%,10%,"0,8","12,50%","12,50%","13,60%","0,00%","23,70%","24,20%","22,20%","0,00%","18,70%","1,10%","4,40%","13,3",0,"17,9",0,"0,2","0,2","0,1","-0,3","1,8","1,5","0,7","75,7","105,8","103,3","2,5",53%,33%,16%,9%,48%,29%,10%,6%,"79,5",100,"107,2","-7,2",54%,26%,16%,9%,55%,25%,13%,12%,"-3,8","5,8","-3,9","9,7",-1%,7%,-1%,-1%,-6%,3%,-2%,-7%
Jamie James Malonzo,Philippines,5,1,4,20%,"9,2","2,2","0,8","1,4",57%,"0,2","0,8",25%,1,"2,2",45%,0,0,-,"0,6","1,2","1,8","0,2","0,6","0,4","0,2",0,"0,6",0,"2,4","-2,8","2,8",10%,"0,79","90,5","103,2","-12,7","88,4","99,3","-10,8",50%,50%,29%,"1,5",7%,2,14%,0,0%,-,29%,"0,75",-,21%,2%,0%,0%,14%,7%,"0,3","4,30%","6,10%","3,10%","0,00%","9,20%","5,90%","9,40%","11,10%","6,70%","1,60%","1,00%","2,4",0,"10,4",0,"0,1","0,1","0,083","-6,3","1,7","-4,6","-0,3","81,1","90,5","103,2","-12,7",47%,28%,17%,8%,53%,23%,14%,13%,"77,5","106,4","107,8","-1,4",57%,28%,16%,10%,53%,28%,11%,10%,"3,6","-15,9","-4,6","-11,3",-10%,-1%,0%,-2%,0%,-5%,2%,3%
June Mar Fajardo,Philippines,5,1,4,20%,"19,2","6,6","2,6",4,65%,0,0,-,"2,6",4,65%,"1,4",2,70%,"2,2","2,8",5,"0,4",1,"0,2","0,2",0,"2,6",0,"6,8","-3,8",6,16%,"1,1","89,2","102,4","-13,2","111,4","95,7","15,7",65%,66%,30%,"1,11",27%,"1,75",10%,"0,67",0%,-,0%,-,17%,17%,4%,9%,0%,0%,6%,"0,4","13,30%","11,40%","16,70%","0,00%","14,60%","5,70%","21,70%","12,50%","14,00%","0,60%","0,70%","7,9",0,"15,7","0,1","0,2","0,3","0,12","-2,3","0,1","-2,2",0,"80,4","89,2","102,4","-13,2",50%,25%,21%,9%,49%,27%,11%,11%,"77,3","110,2","109,1",1,56%,30%,13%,10%,56%,26%,13%,10%,"3,1",-21,"-6,7","-14,3",-5%,-5%,9%,-1%,-7%,1%,-3%,1%
Roger Pogoy,Philippines,5,1,4,20%,16,6,"1,2","2,2",55%,"1,2","3,6",33%,"2,4","5,8",41%,0,0,-,"0,2",1,"1,2","0,6",1,"0,8",0,0,"1,2",0,3,"3,6","6,6",16%,"0,91","109,9","100,5","9,4","81,4",97,"-15,6",52%,52%,15%,"0,8",3%,2,15%,"1,2",6%,3,45%,"0,8",-,15%,4%,0%,15%,5%,8%,"0,6","1,10%","2,20%","0,00%","0,00%","4,70%","1,90%","6,80%","0,00%","3,10%","2,10%","0,00%","3,1",0,"10,1","-0,1","0,2","0,1","0,05","-6,1","0,1",-6,"-0,9","78,9","109,9","100,5","9,4",58%,22%,14%,9%,51%,24%,12%,10%,"78,3",93,"111,9","-18,8",49%,33%,19%,9%,56%,29%,12%,11%,"0,7","16,9","-11,4","28,2",8%,-11%,-5%,0%,-5%,-4%,1%,-1%
Cj Perez,Philippines,5,1,4,20%,"3,8","1,4","0,2","0,6",33%,"0,2","0,4",50%,"0,4",1,40%,"0,4","0,6",67%,"0,6","0,4",1,"0,8",1,0,0,0,"1,2",0,"0,2",-2,"2,2",18%,"0,64","107,1","114,8","-7,6","88,4",109,"-20,6",50%,58%,9%,2,18%,0,0%,-,0%,-,18%,"1,5",9%,45%,17%,18%,0%,25%,27%,"0,8","11,10%","18,20%","4,50%","0,00%","6,90%","20,00%","0,00%","0,00%","8,90%","0,00%","0,00%","9,8",0,"1,1",0,0,0,"-0,013","-7,5","-1,6","-9,1","-0,4","72,7","107,1","114,8","-7,6",58%,19%,15%,8%,56%,34%,11%,14%,"79,7","100,3","104,8","-4,5",53%,29%,16%,9%,53%,25%,12%,10%,"-6,9","6,8","9,9","-3,1",5%,-11%,-2%,-1%,3%,9%,-1%,4%
Rhenz Abando,Philippines,5,1,4,20%,"13,4","5,2","1,4","1,8",78%,"0,6","2,6",23%,2,"4,4",45%,"0,6","1,2",50%,"0,8","1,4","2,2","0,4","0,2","0,2","1,2",0,1,0,5,"-1,6","5,2",11%,1,"104,1","106,3","-2,2","95,2","102,8","-7,7",52%,52%,19%,"1,6",15%,"1,5",0%,-,19%,"1,8",31%,0,12%,4%,2%,4%,0%,0%,7%,2,"4,00%","8,20%","0,00%","0,00%","6,10%","9,60%","2,90%","0,00%","5,20%","0,40%","3,20%","2,2",0,"18,5",0,"0,2","0,2","0,098",-5,"1,2","-3,9","-0,3","78,4","104,1","106,3","-2,2",57%,19%,16%,12%,54%,23%,12%,12%,"78,9","97,7","106,4","-8,7",49%,37%,16%,6%,52%,31%,12%,9%,"-0,5","6,4","-0,2","6,6",8%,-17%,0%,6%,3%,-8%,1%,3%
Dwight Ramos,Philippines,5,1,4,20%,31,"13,2",2,"5,6",36%,"2,2","5,4",41%,"4,2",11,38%,"2,6",3,87%,"1,4","4,2","5,6","2,4","1,4","1,6","0,2",0,"2,6",0,"11,8","-6,6","13,6",24%,"0,97","100,8","111,8",-11,"107,6","100,8","6,8",48%,54%,12%,1,21%,"0,71",9%,"0,33",3%,3,37%,"1,08",9%,10%,13%,10%,45%,4%,15%,"1,7","5,80%","7,50%","3,50%","0,00%","15,30%","15,60%","8,80%","36,40%","10,90%","3,00%","0,40%","4,9",0,18,"0,1","0,3","0,4","0,097","-0,3","1,2","0,9","1,3","78,1","100,8","111,8",-11,56%,23%,18%,10%,55%,28%,11%,12%,"79,5","102,2","95,4","6,8",50%,35%,13%,8%,50%,24%,14%,9%,"-1,4","-1,5","16,4","-17,8",5%,-12%,5%,2%,5%,4%,-3%,3%
Japeth Aguilar,Philippines,5,1,4,20%,"4,8","0,4","0,2","0,8",25%,0,0,-,"0,2","0,8",25%,0,0,-,0,"0,6","0,6",0,0,0,"0,2",0,1,0,"-0,4","-3,8","0,8",12%,"0,5","83,3","122,2","-38,9","31,5","110,3","-78,7",25%,25%,25%,0,25%,2,50%,0,0%,-,0%,-,-,0%,0%,0%,0%,0%,0%,0,"0,00%","0,00%","0,00%",-,"14,30%","22,20%","8,30%",-,"7,50%","0,00%","2,80%","13,9",0,"-3,5","-0,1",0,0,"-0,058",-12,"-1,1","-13,1","-0,7","72,4","83,3","122,2","-38,9",45%,16%,15%,3%,52%,33%,2%,14%,"79,2","102,8","104,7",-2,54%,29%,16%,10%,53%,26%,13%,10%,"-6,7","-19,4","17,5","-36,9",-10%,-13%,-1%,-7%,-1%,8%,-11%,4%
Ariel John Edu,Philippines,5,1,4,20%,"29,4","8,2","2,8","3,8",74%,"0,4","1,2",33%,"3,2",5,64%,"1,4","2,2",64%,"1,4","7,2","8,6","1,4","1,4","0,6","1,2",0,2,0,14,"0,2","7,4",15%,"1,11","102,4","102,9","-0,5","108,9","89,8","19,1",68%,68%,32%,"1,5",16%,"1,67",3%,0,3%,3,14%,"0,6",14%,19%,9%,11%,6%,9%,16%,1,"6,70%","9,10%","4,40%","0,00%","33,30%","30,80%","32,30%","0,00%","20,30%","1,40%","3,30%","4,8",0,"17,6","0,1","0,3","0,4","0,109","-2,8","4,3","1,5","1,4","77,4","102,4","102,9","-0,5",53%,31%,17%,7%,55%,23%,16%,6%,80,100,"110,2","-10,2",54%,25%,16%,11%,52%,30%,8%,16%,"-2,6","2,4","-7,3","9,7",-1%,6%,1%,-4%,3%,-7%,8%,-10%
Isaac Bonga,Germany,8,8,0,100%,"20,4","7,8","1,8","2,5",70%,"1,1","2,6",43%,"2,9","5,1",56%,"0,9","0,9",100%,"0,6","1,6","2,3","1,4","0,8","0,5","0,4",0,"2,6",0,"6,6","2,8","6,3",20%,"1,24","119,2","103,7","15,5","126,9","98,6","28,3",67%,70%,24%,"1,5",12%,"1,67",0%,-,24%,"1,25",12%,"1,5",6%,12%,11%,5%,19%,17%,18%,"1,8","5,60%","2,60%","4,80%","0,00%","11,20%","10,30%","7,20%","10,00%","8,70%","1,60%","1,50%","8,6",0,"11,1","0,3","0,3","0,5","0,135","3,3","1,1","4,5","2,9","76,1","119,2","103,7","15,5",65%,17%,14%,11%,55%,16%,13%,11%,"75,7","129,5","102,4","27,1",65%,39%,14%,8%,58%,27%,20%,9%,"0,4","-10,2","1,3","-11,5",0%,-22%,0%,3%,-3%,-11%,-7%,2%
Maodo Lo,Germany,8,8,0,100%,"16,3","6,6","0,6","1,4",45%,"1,8",4,44%,"2,4","5,4",44%,"0,1","0,3",50%,0,"0,9","0,9","2,5","1,4","0,6",0,0,"1,5",0,"4,6","7,3","6,9",23%,"0,96","111,4","90,2","21,2","108,8","89,3","19,5",60%,62%,9%,"1,2",7%,"0,5",0%,-,0%,-,53%,"1,34",0%,20%,23%,26%,20%,14%,27%,"1,8","0,00%","0,00%","0,00%","0,00%","6,70%","5,00%","6,10%","0,00%","3,50%","2,30%","0,00%","5,6",0,"9,9","0,1","0,4","0,5","0,149","1,3","-1,6","-0,2","0,6",76,"111,4","90,2","21,2",61%,25%,18%,9%,49%,23%,18%,9%,"75,8","134,3","111,5","22,8",68%,34%,11%,9%,61%,21%,15%,10%,"0,3","-22,9","-21,3","-1,6",-6%,-9%,7%,0%,-12%,2%,3%,-1%
Niels Giffey,Germany,8,8,0,100%,"9,1","2,8","0,4","0,9",43%,"0,6","1,5",42%,1,"2,4",42%,"0,1","0,3",50%,"0,3","0,5","0,8","0,6","0,1","0,3",0,0,1,0,"1,8","4,9","2,6",7%,"1,05","123,5","107,9","15,6","119,8","108,8",11,55%,55%,14%,"0,67",5%,0,14%,"1,33",24%,"1,2",33%,"1,29",5%,5%,4%,3%,7%,0%,19%,5,"1,70%","1,90%","1,50%","0,00%","3,60%","4,10%","2,90%","0,00%","2,70%","0,80%","0,00%",3,0,"7,4","0,1","0,1","0,2","0,127",-1,"0,5","-0,5","0,3","76,6","123,5","107,9","15,6",64%,29%,15%,9%,60%,25%,18%,9%,"75,1","126,2","98,1","28,1",66%,31%,13%,10%,53%,19%,15%,11%,"1,5","-2,7","9,7","-12,5",-2%,-2%,2%,-1%,7%,6%,3%,-2%
Johannes Voigtmann,Germany,8,8,0,100%,"20,4","5,4","1,6","2,4",68%,"0,5","1,3",40%,"2,1","3,6",59%,"0,6","0,9",71%,"1,6","4,6","6,3",3,"1,1","0,9","0,5",0,"1,9",0,"11,3","6,9","5,1",12%,"1,05",130,106,24,"141,3","97,6","43,6",66%,67%,24%,"1,8",10%,"1,5",10%,"0,5",2%,3,17%,"0,86",7%,22%,16%,13%,24%,11%,37%,"2,7","10,70%","7,70%","8,80%","25,00%","27,80%","33,90%","11,40%","22,20%","19,60%","2,30%","1,70%",5,0,"14,6","0,5","0,4","0,9","0,213","2,4","4,2","6,7","3,9","76,2",130,106,24,66%,30%,12%,9%,58%,21%,16%,10%,"75,5","118,5","99,2","19,3",64%,31%,16%,9%,55%,23%,17%,10%,"0,7","11,5","6,9","4,7",2%,-2%,-4%,1%,3%,-2%,0%,-1%
Franz Wagner,Germany,8,8,0,100%,"14,8","8,4","1,9","3,1",60%,"0,8",3,25%,"2,6","6,1",43%,"2,4","2,8",86%,"0,9","2,4","3,3","1,5","1,3","0,6",0,0,1,0,"7,6","3,9","8,6",37%,"0,97",125,"111,4","13,6","113,3","101,9","11,4",49%,59%,17%,"1,5",12%,"0,75",1%,0,4%,1,25%,"0,53",12%,14%,18%,14%,15%,10%,15%,"1,2","10,30%","5,70%","9,10%","0,00%","26,40%","17,20%","16,70%","0,00%","18,60%","3,00%","0,00%","4,8",0,"16,4","0,2","0,2","0,4","0,127","1,6","-0,2","1,5","1,1",78,125,"111,4","13,6",64%,31%,14%,10%,59%,21%,14%,10%,"74,9","124,8","99,2","25,6",66%,30%,14%,9%,55%,22%,18%,10%,"3,1","0,2","12,3","-12,1",-1%,1%,0%,1%,4%,-1%,-4%,0%
Daniel Theis,Germany,8,8,0,100%,"21,8","10,9","4,6","6,8",69%,"0,1","1,3",10%,"4,8",8,59%,"1,3","2,1",59%,"1,8","3,6","5,4","1,9","1,1","0,8","0,6",0,"1,9",0,"12,4","5,3","9,8",25%,"1,12",131,"107,8","23,2","117,3","100,8","16,5",60%,62%,27%,"1,71",19%,"1,33",13%,"1,2",0%,-,13%,"0,3",8%,12%,12%,17%,13%,0%,16%,"1,7","12,10%","7,40%","7,60%","0,00%","23,60%","21,80%","17,10%","15,40%","18,00%","2,00%","2,10%","5,1",0,"17,3","0,3","0,3","0,6","0,129","1,2",2,"3,2","2,5","75,5",131,"107,8","23,2",68%,28%,14%,9%,60%,19%,17%,9%,"76,3","117,8","97,1","20,7",62%,33%,14%,9%,52%,25%,16%,10%,"-0,8","13,2","10,7","2,5",7%,-5%,0%,1%,8%,-7%,0%,-1%
Moritz Wagner,Germany,8,8,0,100%,"17,6","11,9",3,"4,5",67%,1,"2,1",47%,4,"6,6",60%,"2,9","3,9",74%,"1,4","3,4","4,8","1,4","1,1",1,"0,1",0,"2,1",0,"12,3","9,9","9,4",33%,"1,27","128,2","97,5","30,6","128,8","85,5","43,4",68%,74%,28%,"1,52",13%,1,1%,0,4%,2,19%,"1,29",15%,12%,16%,15%,20%,0%,13%,"1,2","13,60%","7,70%","11,60%","0,00%","27,60%","26,50%","18,80%","33,30%","21,20%","3,90%","0,60%","8,4",0,"22,6","0,4","0,4","0,8","0,226","5,3","1,8","7,1","3,6","75,4","128,2","97,5","30,6",69%,23%,15%,11%,52%,20%,15%,11%,"76,1","122,8","106,3","16,5",63%,34%,13%,8%,59%,23%,17%,9%,"-0,7","5,4","-8,8","14,2",6%,-11%,1%,3%,-7%,-2%,-2%,2%
Dennis Schroder,Germany,8,8,0,100%,"28,5","19,1","4,5","8,6",52%,"2,3","6,9",33%,"6,8","15,5",44%,"3,4",4,84%,"0,3","1,8",2,"6,1",2,"1,4","0,4",0,"2,1",0,"15,5","8,3",19,43%,"1,01","127,9","102,7","25,2","117,5","96,8","20,7",51%,56%,12%,"1,56",10%,"1,2",12%,1,0%,-,31%,"1,15",8%,11%,41%,34%,50%,35%,24%,"3,1","1,60%","0,00%","1,20%","0,00%","9,20%","6,30%","10,00%","7,70%","5,70%","3,30%","1,10%","5,1",0,"18,6","0,7","0,4","1,2","0,202","8,2","-1,8","6,4","5,3","74,4","127,9","102,7","25,2",67%,22%,13%,8%,56%,21%,16%,9%,"78,3",120,"103,5","16,5",62%,40%,16%,11%,57%,23%,16%,11%,-4,"7,9","-0,8","8,7",5%,-18%,-3%,-2%,-1%,-2%,0%,-1%
Justus Hollatz,Germany,8,8,0,100%,"7,4","1,5","0,4","1,1",33%,"0,3","0,5",50%,"0,6","1,6",38%,0,0,-,"0,5","0,8","1,3","0,8","0,4","0,4",0,0,"1,1",0,"1,4","4,5",2,17%,"0,75","132,1",94,"38,2","121,5","87,2","34,2",46%,46%,38%,"0,67",13%,1,0%,-,0%,-,25%,"1,5",-,19%,15%,7%,26%,0%,27%,2,"11,10%","16,70%","8,00%","0,00%","15,80%","7,70%","19,20%","0,00%","13,50%","3,60%","0,00%","10,8",0,"5,5","0,1","0,2","0,2","0,164","-1,2","2,4","1,3","0,5","74,5","132,1",94,"38,2",68%,33%,15%,6%,53%,24%,21%,8%,"76,1","123,5","104,6","18,9",65%,30%,14%,10%,57%,21%,16%,10%,"-1,6","8,7","-10,7","19,3",3%,4%,1%,-3%,-4%,2%,5%,-3%
Johannes Thiemann,Germany,8,8,0,100%,"18,6",7,"2,3","2,4",95%,"0,5","1,3",40%,"2,8","3,6",76%,1,"1,1",89%,1,"3,3","4,3","1,1","0,6",1,"0,1",0,"1,5",0,"10,4","6,6","4,8",13%,"1,47","110,5","95,3","15,3","157,5","88,3","69,2",83%,88%,26%,2,11%,2,3%,0,5%,0,21%,"1,5",8%,13%,9%,4%,18%,6%,19%,"1,8","7,50%","4,50%","7,10%","0,00%","22,80%","18,60%","14,30%","14,30%","15,40%","3,20%","0,50%","4,7",0,"16,6","0,5","0,4","0,9","0,245","4,7","3,6","8,3","4,3",75,"110,5","95,3","15,3",59%,24%,16%,7%,55%,19%,20%,9%,"76,7","138,2","109,9","28,3",70%,35%,12%,11%,58%,24%,14%,11%,"-1,7","-27,6","-14,6",-13,-11%,-11%,3%,-3%,-3%,-5%,6%,-2%
Andreas Obst,Germany,8,8,0,100%,"23,8","10,4","1,1",2,56%,"2,1","4,8",45%,"3,3","6,8",48%,"1,8","2,1",82%,"0,3","1,4","1,6",2,"0,6","0,4",0,0,"1,5",0,"8,4","9,3","8,1",20%,"1,28","131,4","107,5","23,8","126,2","106,8","19,4",64%,69%,6%,2,3%,0,11%,"0,86",5%,0,43%,"1,5",9%,8%,11%,6%,27%,11%,20%,"3,2","1,70%","0,00%","2,90%","0,00%","8,10%","1,70%","8,90%","7,10%","5,10%","1,00%","0,00%","3,9",0,"12,6","0,3","0,2","0,5","0,106","3,3","-0,8","2,6","2,4","76,7","131,4","107,5","23,8",68%,25%,12%,10%,58%,19%,14%,11%,"74,8","116,2",97,"19,3",61%,36%,16%,8%,54%,25%,19%,8%,"1,9","15,1","10,6","4,6",7%,-12%,-4%,2%,4%,-6%,-5%,3%
David Kramer,Germany,8,8,0,100%,"2,1","1,4",0,0,-,"0,4","0,8",50%,"0,4","0,8",50%,"0,3","0,3",100%,"0,1","0,4","0,5","0,3",0,"0,4",0,0,"0,3",0,"1,9","1,3","0,9",33%,"1,57","170,6","105,6",65,"186,5","79,8","106,7",75%,79%,0%,-,0%,-,0%,-,29%,"1,5",57%,"1,5",14%,0%,33%,-,33%,-,22%,"0,3","11,10%","25,00%","0,00%",-,"100,00%",-,"100,00%",-,"33,30%","16,70%","0,00%","11,1",0,"30,1","0,1",0,"0,1","0,352","20,2","13,1","33,3","1,7","79,1","170,6","105,6",65,76%,44%,10%,5%,73%,0%,28%,17%,"75,8","123,3","102,9","20,5",65%,30%,14%,9%,56%,22%,16%,10%,"3,3","47,2","2,7","44,6",11%,15%,-5%,-5%,17%,-22%,12%,7%
Yuki Togashi,Japan,5,3,2,60%,"15,2",4,"0,2","1,2",17%,"1,2","3,8",32%,"1,4",5,28%,0,"0,4",0%,"0,2","1,4","1,6","3,4","1,2","0,2",0,0,"1,4",0,"2,6","0,8","6,4",16%,"0,63","107,7","106,7",1,"103,8","101,9","1,9",40%,38%,0%,-,9%,0,9%,"0,67",3%,0,56%,1,3%,19%,22%,14%,36%,27%,35%,"2,8","1,30%","0,00%","1,80%","0,00%","7,10%","1,90%","12,50%","0,00%","4,50%","0,60%","0,00%","3,9",0,"5,8",0,"0,2","0,2","0,106","-13,6","-3,9","-17,5","-3,3","78,6","107,7","106,7",1,60%,20%,17%,6%,52%,32%,14%,6%,"80,1","102,3","107,8","-5,5",55%,23%,15%,12%,55%,33%,14%,6%,"-1,5","5,4","-1,2","6,5",5%,-3%,2%,-7%,-2%,-1%,0%,0%
